NomForet;Libelle;NumCarre;idArbre;X;Y;Xutm;Yutm;Circonference;MesuMort;idCodeMesure;Annee;Famille;Genre;Espece;idTaxon;idVern;NomVern;Surface;Arbre
Nouragues;NouPP;222;217333;262,8999939;124,0999985;;;153,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;211;gonfolo;;
Nouragues;NouPP;222;217334;262,6000061;124,9000015;;;49,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217335;270;125,8000031;;;75,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217336;267,2999878;128,8000031;;;44,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;645;aso udu;;
Nouragues;NouPP;222;217337;264;131;;;95;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217339;265,1000061;135;;;36,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217340;267,1000061;135,8000031;;;118,5;FALSE;6;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217341;263,1000061;140,5;;;46;FALSE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217342;263,6000061;140,8999939;;;58;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217343;269,1000061;144;;;46;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217344;260,2000122;146;;;306;FALSE;0;2008;Indet.;Indet.Indet.;Indet.;33679;103;ang_lique;;
Nouragues;NouPP;222;217345;262,2999878;146,6000061;;;94,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217347;268,5;146,5;;;39;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217348;269,8999939;152;;;70,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217349;261,5;153;;;56;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;681;apisi;;
Nouragues;NouPP;222;217350;266;154;;;46;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217351;268,5;159;;;72,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217352;262;159;;;41;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217353;268;160,1000061;;;105;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217354;267,5;161;;;41,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217355;265,3999939;166;;;71,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217356;266,5;168,5;;;291,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217357;266;169;;;108,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217358;269;174;;;42;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;707;weti koko;;
Nouragues;NouPP;222;217359;261,5;176;;;56,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217360;269,8999939;177,5;;;54;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;681;apisi;;
Nouragues;NouPP;222;217361;260,5;178,5;;;57;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217362;264,2000122;180,8000031;;;61;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217363;261,7000122;191,5;;;141,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217364;264,2000122;194,8000031;;;65;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217365;262,3999939;195,6999969;;;102,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217366;269,1000061;196,6999969;;;136;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217367;268,1000061;197,5;;;45;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217368;266,7000122;199,3000031;;;50,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217369;275,1000061;101,6999969;;;62;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217370;279,2999878;105,5999985;;;49,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;642;tingi moni;;
Nouragues;NouPP;222;217371;277;112,5;;;86,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217372;279,8999939;113;;;121;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;681;apisi;;
Nouragues;NouPP;222;217373;275,5;116,5;;;143;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217374;279,8999939;121;;;54,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217375;272,5;122;;;45;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217376;271;123;;;78;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217377;272,5;125;;;59,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217378;277,5;124;;;59;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217379;273,5;126;;;42,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217380;276,5;125,5;;;91;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217381;279,7999878;126;;;41;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217382;278,5;128;;;45;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;403;maho noir;;
Nouragues;NouPP;222;217383;273,5;128;;;48,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217384;271;130,1000061;;;74,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;1087;sali;;
Nouragues;NouPP;222;217385;276,5;130,5;;;188;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217386;279,5;131;;;63;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217387;276,5;134;;;128,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217388;270,2999878;136;;;158,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217389;273,5;136;;;50;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217390;275,2000122;140,8000031;;;39,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217391;272,2000122;141,8999939;;;40,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217394;271,7000122;144,5;;;78;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217395;271;144,8999939;;;90;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217396;279,1000061;147;;;81,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217397;278,2999878;148,8000031;;;46;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217398;276,1000061;151,8000031;;;55,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217400;276,2000122;155,1999969;;;52;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;606;niamboka;;
Nouragues;NouPP;222;217401;271,2000122;156,3999939;;;135,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217402;278,6000061;159,3000031;;;89,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217403;278,1000061;159,1999969;;;44,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;211;gonfolo;;
Nouragues;NouPP;222;217404;275;160,5;;;49,5;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;401;koko;;
Nouragues;NouPP;222;217405;270,1000061;162;;;58;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217406;276;168,5;;;84;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217407;276,5;169,5;;;76;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
Nouragues;NouPP;222;217408;275,2000122;173,8000031;;;35;TRUE;0;2008;Indet.;Indet.Indet.;Indet.;33679;0;-;;
